Country,Code,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.970850132,1.022220132,1.022220132,1.122220132,1.022220132,1.122220132,1.322220132,1.222220132,1.149995297,1.25555033,1.266699837,1.364738077,1.394164475,1.392202715,1.290240956,1.392202715,1.088279196,1.484355676,1.472585116,1.592202715,1.674374634,1.662776317,1.656891037,1.656891037,1.158852797,1.551695148,1.45270089,1.409851156,1.43339064,1.532032888,1.431680878,1.926933182,1.810688761,1.852327062,1.609840058,1.711547679,1.73882031,1.593600591,1.729449149,1.7311958,1.357206138,1.2926431,1.344695697,1.347940553
Brunei,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5132476,4.693469187,5.008755533,4.049361253,3.634074907,4.313772047,2.82555618,4.47141522,3.99171808,4.57141522,3.862896493,3.2368218,3.142958767,2.951409586,2.913541163,3.497650496,3.486551409,3.702775948,3.243306501,3.6402303,3.757935894,4.24837587,4.87613904,5.193844634,5.823519808,6.610135774,9.827422017,10.186086444,10.533825884,7.240768203,8.211112966,8.481891847,8.241776193,7.701370983,8.587174605,9.287691078,9.744023642,9.83366762,10.22519768,10.317153477,11.821812116,11.2511792,10.889232226,10.822534343
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004403549,0.02495527,0.03135369,0.028700977,0.026028984,0.033157467,0.031679351,0.061041146,0.061727208,0.064717611,0.114148015,0.116088418,0.122191085,0.12412262,0.16544473,0.176947714,0.177733456,0.178519197,0.180241275,0.198763745,0.217286214,0.220313797,0.330248803,0.321628372,0.344729434,0.364410679,0.367068536,0.338869663,0.366884005,0.458871633,0.492486226,0.540145378,0.583256167,0.610481699,0.589683437,0.625257036,0.739273044,0.874226128,0.967306365,0.931043187,0.736287995,0.793151282,1.180712709,0.732751421
Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.232439976,1.279654588,1.249508459,1.227665691,1.21675577,1.517163726,1.639398689,1.761208501,2.075161596,2.282128114,2.564767713,2.607885419,3.252271257,3.055759068,2.991893675,3.02467312,2.721831559,2.787109709,3.053071438,2.798868952,3.861523501,3.511330594,3.489899564,3.290869915,3.749805131,4.061087521,4.238218136,4.07774137,3.940151317,4.180684536,4.219064426,4.385739465,4.186221336,4.327005721,4.670282678,6.004342771,6.78770549,6.264534639,6.188921367,5.945084822,5.445114206,5.910720913,7.750202367,5.897438653
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13937,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.354199611,0.3,0.3,0.3,0.39045643,0.401034275,0.404893391,0.408906323,0.415213,0.255898,0.268789,0.278282,0.286117,0.302117,0.308117,0.305117,0.313
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.707820181,403.721809495,390.433426247,374.68618781,413.573285658,413.664026708,406.774332301,422.568099712,455.294185918,468.858740583,438.868700408,427.27114368,445.393583919,446.734217884,457.325459521,465.238364571,480.013989176,492.838293939,497.657623632,518.386273808,515.349903886,534.835600509,541.606593733,560.578927573,567.903156987,575.125891298,579.473779222,575.960885201,552.204414949,536.771767403,565.384849198,567.701682217,574.676632127,584.738158364,589.632049166,592.141987123,574.066556102,601.581361616,615.450125804,607.586690711,542.417667613,557.14584228,574.470900912,585.853063509
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.288410881,38.163755455,36.254793536,39.88400664,40.375442393,43.807129562,43.831710562,42.420239302,42.458577213,42.274665003,42.260934544,44.550814551,45.105070962,42.932256474,42.391821339,43.471249904,44.33135558,43.564547046,45.235610153,45.6262472,44.553943222,45.704922996,43.694081468,44.475341661,44.712775947,45.18369009,44.784418273,42.931578839,44.688750904,43.38559761,44.841996798,41.098603284,42.679771497,43.637537452,39.638756163,39.558275205,40.235876545,39.632332856,38.811657616,38.718005964,32.716524534,34.461976557,33.319256966,33.306111998
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.608615918,20.777298692,16.687740254,17.954715371,20.323000596,19.4178375,19.403419549,19.939354349,23.530224019,28.623170396,30.368899694,28.879754552,30.03139498,32.739001079,35.879767705,39.092920312,43.880968586,50.638338583,51.488744946,55.599471461,52.299004537,51.555660643,53.40717303,55.090061576,61.048290843,63.293747073,64.708953957,69.909066788,71.899724012,68.305852773,71.899332995,76.419302201,77.47019046,81.533753099,76.500197921,80.414079006,83.818249551,86.125791107,88.273748541,88.905025792,79.477978669,87.462044243,85.414772119,83.057701467
China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596.69638631,1587.190303195,1671.101704097,1785.801618532,1948.070593329,2066.962675133,2139.77531038,2259.80811238,2405.653731514,2413.191859479,2417.241264382,2460.412875579,2541.080384708,2730.930852358,2916.39147434,3140.322857361,3240.418927252,3143.568283036,3132.091526409,3248.272869507,3482.708683778,3615.319298673,3857.315271143,4469.340962115,5397.860863322,6120.077564126,6750.666894778,7057.568452367,7505.110562847,8204.136739711,9003.659583588,9892.523226965,10478.960468891,10732.002366681,10654.275247466,10427.086484114,10261.596587956,10408.110845302,10601.870440226,10983.970364491,11046.935753256,11442.165161842,11484.33455696,12195.65713298
Ivory Coast,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01485,4.3,3.9,4.2,4.1,4.3,4.8,5.3,5.6,5.6,4.6,3.8,3.9,4.4,4.6,4.578325965,5.406233565,5.277055942,5.369407923,7.028758271,7.34837587,5.84837587,5.813263639,5.813263639,6.338240843,6.338240843,6.238240843,6.013354819,6.400911807,6.500911807,6.804068151,6.411549466,8.070046554,9.377470431,9.839029019,10.214946661,11.256751486,11.231140486,10.798183713,11.640126664,11.222834257,13.658308252,16.337719977,16.280237728
Cameroon,CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22945,2.3,2.7,2.7,2.7,2.7,3,2.8,2.7,3.2,3.4,3.5,3.6,2.8,3.1,3.1,3,3.1,3.1,3.2,3.3,3.2,3.2,3.4,3.4,3.4,3.839235198,4.315820519,4.139235198,4.839235198,5.81196958,6.336180487,5.897224026,5.024585929,6.98152875,7.280231735,6.920367464,6.48708692,6.643752768,6.85006625,6.999904917,6.683132144,6.84870166,6.707113024
Congo-Kinshasa,COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.336347568,3.531812552,3.593683177,3.572580699,3.347935228,3.282425434,3.783978727,3.394459823,4.103300561,3.914568493,3.620202459,3.2,3.7,3.9,2.9,3,3.2,3.1,2.9,2.5,2.1,1.400393101,1.204547164,1.202281303,1.706499441,1.723049485,1.719635243,1.778880395,1.685601163,1.724303856,2.43654791,2.808811775,2.708148388,3.996943744,5.419329431,3.171634163,2.401204718,2.615946401,2.641757936,3.732741059,3.791430428,3.726563561,5.059477512,5.883090955
Congo-Brazzaville,COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.720720132,0.833330198,0.733330198,0.638885231,0.638885231,0.91110066,0.822220132,1.01110066,0.8,0.9,1,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.8,0.6,0.6,0.8,0.7,0.9,1,1.335411188,1.553116783,1.955736453,2.125851164,2.739732749,4.324436711,4.436032444,4.372138398,5.72550493,5.473082996,5.372823856,5.161164532,3.726772726,3.407961388,2.847709129,2.346227147,2.416422544,2.60652739,2.659740877
Cook Islands,COK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02812,0.05604,0.05513,0.05551,0.05542,0.05539,0.05374,0.05373,0.05373,0.04739,0.04738,0.03862,0.04785,0.04783,0.0478,0.04763,0.04775,0.04775,0.04774,0.04774,0.05729,0.05729,0.05729,0.05728,0.06365,0.07001,0.07469,0.070105621,0.09059,0.07309578,0.0879678,0.0987262,0.104676137,0.1041053,0.109801,0.1015744,0.105116255,0.11183246,0.1123327,0.113,0.077,0.081,0.099,0.103000323
Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.776157788,36.664233466,36.996154552,37.508295222,40.673898405,41.335262269,41.786472429,41.741466211,43.302720807,45.545017981,45.64321413,45.627835323,49.94907226,51.46905755,51.650999973,49.859156542,50.028284209,54.919082526,54.493185478,49.087333481,49.326557993,49.305265071,48.644347855,47.68506091,47.774658007,47.331514297,49.335075092,48.877657404,46.742661536,51.367881395,50.91967204,58.775110568,63.822093945,68.159642685,75.735832204,75.285248861,78.012255536,70.050426205,69.82020746,86.786129743,73.527400076,84.334369157,88.898357411,85.877571533
