Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,90.71108226270374,90.89486609553889,94.63942370691022,93.83078384369034,92.59628263461897,90.6833960312257,95.25633791870503,99.55314486940709,97.77986535080159,98.45304766160471,96.60531949814948,94.9610892406266,97.3048661095685,95.82487123532587,101.44703421954503,105.46164783524218,108.22242546272174,108.64641984147917,110.59704034539226,114.34443931753643,115.2658852759551,118.95744675846167,113.45884421386094,111.79174995154251,113.66445164813845,112.63060121025465,114.25107502934563,115.79209659898771,116.7779247092403,110.39673999471208,109.48135204816312,113.03749662044856,108.64310112721346,112.34509049200311,112.2592552516366,110.11423884047923
Australia,AUS,200.55864490117324,201.06153484517608,207.60434253482703,195.9859766337209,196.42145100249215,201.9542125074789,201.7842273892537,209.59465929085243,211.7088054380039,220.8128359592453,211.71965026148675,206.77206488275618,209.11577324527178,212.06905346842015,213.87748728121565,218.55635302942594,226.39437824667252,229.6517472395039,236.6643581560321,240.12064813994496,239.4095979389043,238.39494104169788,244.04170406615467,242.7680932161772,248.3935864205955,249.79565951738206,249.36402128261034,252.45666924854007,247.9223959994687,248.8420348862005,246.1560664938312,244.9096120921701,244.27452021401118,238.57644395582315,231.17266050566906,229.54639307290518,233.96941588672715,230.3333950163961,231.92621740114825,236.46016093446354,218.0431913476915,221.8759667091134,229.58716518263094,222.84565390104567
Austria,AUT,119.00867187156389,115.51444332618671,108.68458872292183,109.83286873293484,114.94927268625429,116.15611770783971,113.22076898795302,111.38836112516412,113.86642291214922,115.29261184841346,122.3540960789912,128.86381239212727,121.64990421898122,122.44769600088345,122.28845488274155,128.11534179089531,137.34611450757865,136.19591920521935,138.25527829764812,136.85186519445185,134.26622395079343,142.18156362508017,142.37950360071753,150.31201326409968,152.8291906726871,158.42622149256522,157.14724127044784,152.29446304874668,151.61881961075548,142.04628374930584,149.28681740474724,143.21029223564628,141.34406687087542,141.9300772718221,135.4981373048951,136.9578817617384,137.57553486035798,140.32289668756079,137.19471312003841,140.1492472729958,127.85112876647216,134.0618564086387,125.13325406768253,119.26410098607303
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,132.21941635482455,110.26012690903109,98.15174567708715,92.9435575847361,80.79396352425275,78.98435423545406,66.460101300398,68.33406216774608,60.798018717138994,53.108089211376786,62.24382892659986,65.57590920800358,71.61621446825565,73.10923123818849,73.53761490548584,59.56054584608306,63.193529480587934,58.495998581853065,61.771365330905454,58.20514958367386,63.16592329247108,58.69092461667253,59.83800878377237,62.32368442880232,60.4477702891592,59.73684342594137,59.467277164355416,61.66033077535513,59.68515784966027,66.3944667810611,70.16932359190992,66.46717033779416
Burundi,BDI,0.3604728525670836,0.39165293525461614,0.3352525041720549,0.38325403529091595,0.46891350863741843,0.4672652994206763,0.4628690885783063,0.4908489959699253,0.7328244506200978,0.8113449845951244,0.8377252737659663,0.9376738566805012,0.8423060857747346,0.985277346560019,1.0244654759601113,0.9237075817639518,0.9665936760915761,0.9660041903293837,0.9727150309176671,0.9464543692577205,0.7685598206246267,0.6047153941901882,0.5407184420295679,0.4272905546936493,0.49914568920757774,0.40262664887823113,0.4661111933153245,0.7257279379028445,0.4320846612166968,0.41038707042895445,0.5687662451578728,0.670507968947623,0.599966852898151,0.6367072684402596,0.5690176926354938,0.5665533113385645,0.6214596720457893,0.7174396448086706,0.8998712226060692,0.8879566631485324,0.9746894809541656,0.9300966916405697,0.932724950931243,0.9456453170358813
Belgium,BEL,215.02149513026754,202.1966089793589,189.1392399671105,185.9187007127057,190.01454925768908,197.46760228668407,205.34267970757924,211.59199434415365,216.48321016394362,217.08273968533624,221.8810357594667,228.92242833249685,228.180997790182,224.07169473721336,237.6268130636415,240.7406232260602,254.19087777089038,254.7791363607022,260.37267925003346,258.06636263956176,263.2797776665117,261.78421860090697,259.24995048717847,266.5469969688942,268.8492097553278,264.72906175550753,262.1278387681013,261.25212820855774,267.0959129792814,241.65683451194238,256.64334632677964,236.68861723860792,227.66605069291194,232.75551480435533,215.48316486210618,216.5748157109209,228.96327126311687,228.71480307554006,228.9265418190308,227.77306442461474,203.4892108737034,225.52905697656388,205.95698942859283,189.9603187697955
Benin,BEN,1.6627027139383515,1.6280615057352426,1.1163250214070757,1.5731710177152511,1.514616551367935,1.6965169339766641,1.604359596036292,1.2332432430228084,1.4833076424590137,1.4824520579960743,1.6518301975639778,1.8719803735387186,2.016647738883458,2.121289231914555,2.137958693061239,2.259203523237478,2.4006742391298928,2.521608691265989,2.6359401481873403,1.2537747862041135,3.243561053728569,3.595215667525641,4.020530294118691,4.47703039064058,4.5821978287826015,4.165221153547,5.517870888512668,6.32452745672461,6.275472809111382,6.761300625761948,7.501542295676317,6.807070598397821,6.2655606932182595,6.208535098615507,6.411928832528877,6.838314261384125,8.097803440553335,8.345793127471433,8.928006443413935,8.092502483078858,8.281841905245477,6.268452677687345,6.282879935738194,6.471564021248048
Burkina Faso,BFA,0.8687948967210711,0.8430782864971896,0.8201152421121088,0.7972062773401931,0.7766470974358449,0.7273993090857114,0.8368387771701187,0.8503393417301349,0.8681150302477083,0.7576375434289766,0.7526901227224001,0.8470203486662025,0.8309637229035995,0.8821344803842062,0.94585436877311,0.9291390905419639,0.9539367635681681,1.510003049948667,1.3348968217510342,1.309612146326132,1.1633997410109722,1.283818088373793,1.3002259049058178,1.3819020274962328,1.2000491916958858,1.238466392156845,1.1924321009319734,1.640226450241255,1.7336760177931203,1.5808267750347236,1.7072747227491494,1.8853640073797975,2.156841417430147,2.50930341416802,2.270880900034665,2.8102731202685534,2.6078615681510455,2.943694183505306,3.2196858259258567,3.2534070145484,3.194500376276601,3.5603992139313982,3.452542243852775,3.4812817855935076
Bangladesh,BGD,1.3408156241143883,1.4279638199696507,1.4691840684413735,1.3784408340902967,1.6341338498034623,1.6516704609013864,1.7740316124105613,1.8786976149318195,2.059363155728765,2.187089545074329,2.0871105732921205,2.185690659315669,2.4184357154767686,2.5832692854491404,2.7973459502308784,3.021242869808911,3.0749120304720607,3.1011241649836623,3.2526015929915455,3.595151288785625,3.747049290440693,4.036660676917746,4.18177375431717,4.538780637698627,4.632468442409422,4.86388841826024,5.184882300505556,5.417519700611382,5.793255064688321,6.065215615076343,6.327046549087988,6.591003075857714,7.049173065442862,7.163596023253605,7.596513308438267,8.334644900195459,8.87425246790886,9.072554255053058,9.35010563154716,10.366749405125907,9.863239548319964,10.762048334353365,10.810695102513929,11.472115124524901
Bulgaria,BGR,148.143608535369,146.0439533510951,151.38377631573357,154.18747824636813,154.1460006338666,158.83420457314566,156.99499607917807,155.53614537457995,157.84410126761372,146.91740537109504,136.43165045321837,107.95132531916146,106.07268185249524,103.09360160861766,106.09734956918996,116.79340634437186,117.12109975772384,107.58045855055656,97.2441282765542,89.87065482747036,90.40157112158354,93.57407528618306,96.32965870031867,97.88873372215954,97.4960924911644,101.94727697828965,105.44648183804763,102.3575273753886,101.20747471339216,91.53141109537081,92.50315687813055,101.9128913009365,99.0978862759875,92.99072017125089,99.8244653179252,105.55133770953903,103.63394181548298,106.8097557203857,106.57975206841594,107.3699791656921,101.12681081147028,111.35818984599787,115.03286991583384,101.60950780142022
