Country,renewable_share_pct,co2_intensity_kg_per_usd,total_co2_mt
Dominican Republic,2.355486254977955,0.623848041273775,616.312833516
Eastern Europe and Eurasia,1.9633590907234104,8.803332394561714,36489.520804158
Ecuador,8.813906094538105,0.862364625325396,908.040766173
Egypt,1.6726474436801626,5.142815387627517,5687.455416831
El Salvador,13.93118261701382,0.3602707548916798,197.499898665
Equatorial Guinea,0.7385201936201923,0.048320105217917686,84.970948619
Eritrea,0.46206437188253296,0.2107580679475765,22.584271383
Estonia,2.734165269932166,0.08707617142036474,183.423462408
Eswatini,28.87442419002529,0.05849943708072642,34.602685495
Ethiopia,14.558184378257788,5.1408669421889215,247.515869336
Eurasia,1.7712029858671434,17.207790060360082,89367.722604559
Europe,5.231629199013991,33.978595021529514,148710.19795382
European Union,4.619370883249631,24.339996933968692,115911.977195247
Fiji,10.467785033426244,0.06082807268189967,50.221738068
Finland,18.010988553677613,0.234099881997268,1694.157301822
France,1.6030622386428837,2.397001616958511,12846.086035588
Gabon,8.22494749123927,0.09665617670753794,94.955130019
Georgia,20.10252723254675,0.20137129108217294,235.049044495
Germany,4.778615694822837,4.998605377420732,27345.308819145
Ghana,17.27084871263722,1.393185714951235,318.110755919
Greece,4.089026114062156,0.7904916668660339,2938.576812169
Grenada,0.0951389136977453,0.0075037176989536675,8.260106728
Guadeloupe,1.9134779135285425,0.02762853406751559,38.843079243
Guam,0.13814691564754072,0.010822994757537896,83.778315537
Guatemala,12.89778943726699,0.8642461965791463,397.399078342
Guinea,6.247792890551672,0.5995949031092908,71.32500125
Guinea-Bissau,0.0426129373271153,0.1165978440449205,12.120495993
Guyana,0.517598422410873,0.05554683962763829,58.227067851
Haiti,3.6102844407754393,0.6293560054314375,67.433279683
Honduras,13.334448260069003,0.49305764228443183,224.798713666
Hong Kong,2.3970740610323222,0.5039743881770355,2441.373487301
Hungary,3.635173122970898,0.5146489581077858,1750.80214351
IEO - Africa,2.642093424773967,69.64520561544069,34675.122025636
IEO - Middle East,0.3351096200128661,12.163494841924416,51311.995068638
India,3.519184557700861,90.98822606797165,195753.441888572
Indonesia,1.8259508038235541,16.134670319238843,12260.956088179
Iran,0.5865682784090317,4.38561064748748,15459.783683546
Iraq,1.2490816902655677,2.0678927288640856,3349.2286968
Ireland,3.5230807568998292,0.27987909762162966,1221.249674387
Israel,-0.7637795709104322,0.4930379643353242,2018.4512826999999
Italy,6.965990774506642,3.4619400698561424,13722.531280182
Ivory Coast,3.6508002627254723,1.271439962357716,264.755374491
Jamaica,1.4649538791870684,0.19297104845688004,323.438492233
Japan,2.9396942355101467,7.599768654283702,161565.209206784
Jordan,1.2818595376423243,0.4664825838801515,623.157684884
Kazakhstan,1.909967095811135,1.3972348162670898,7718.347789317
Kenya,11.729770751695977,2.430207009031041,402.305231388
Kiribati,0.5402217934456095,0.006985506243993235,1.549644734
Kosovo,1.9359176203982795,0.1535832127868687,128.341744993
Kuwait,0.027099776761002718,0.16679182256482222,2344.930981178
Kyrgyzstan,25.69570362242897,0.2940869139476824,257.395669819
Laos,14.077460441069533,0.35089440299123753,212.65244267399999
Latvia,12.170621262585106,0.12194844665369713,264.953608165
Lebanon,2.0236771350067797,0.3492654829368596,578.156472508
Lesotho,23.121230746745077,0.09834649911464048,14.084971792000001
Liberia,0.8555898242660137,0.26860050982130707,22.565377266
Libya,0.07905421042809374,0.37294006981707906,1475.133091307
Lithuania,4.761446417963353,0.1532586984740606,470.855643779
Luxembourg,14.998259564392216,0.030792537291199604,361.926531254
Macau,20.32663870187807,0.028194267334443687,58.300567395
Madagascar,7.2884611979815865,1.5020268472511649,81.770936309
Malawi,25.641072393514616,0.7988037282406681,37.488561325
Malaysia,1.819167427283594,1.7313889499526367,5448.856449294
Maldives,0.15187787714780315,0.025421998506205554,33.169784564000004
Mali,7.644343990387799,0.863774952126467,72.549848523
Malta,0.7688744843516597,0.027348003160468905,171.6161835
Martinique,0.2943957246314667,0.028713733103074773,43.933506078
Mauritania,2.118253183323214,0.2769927160158698,103.126233862
Mauritius,5.455387800076643,0.08718825195638656,144.296809043
Mexico,2.632188608474383,6.599807729337478,55383.10961472
Middle East,0.3351096200128661,12.163494841924416,51311.995068638
